text,is_burden,index,section,parts
" (2)In the event of non-receipt of minimum subscription as specified above, all application moneys received in the public issue shall be refunded forthwith to the applicants, within twelve days from the date of the closure of the issue.
                 ",1,43,0,0
" (3)In the event, there is a delay by the issuer in making the aforesaid refund, then the issuer shall refund the subscription amount along with interest at the rate of ten per cent. per annum for the delayed period.
                 ",1,44,0,0
" 11A. (1) Issuers shall be allowed to retain the over-subscription money up to 100% of the Base Issue size but not exceeding the rated size or any lower limit as specified in the offer document, if any.
                 ",1,45,0,0
" (2)For the issuers filing a shelf offer document, oversubscription may be retained up to the total size of the shelf offer document.]
                 ",1,46,0,0
" 12.(1) The funds raised from public issue of debt securities shall be used only for projects that are specified under objects in the offer document.
                 ",1,47,0,0
" (2) The proceeds of the issue shall be clearly earmarked for a defined project or a set of projects for which requisite approvals have been obtained from concerned authorities.
                 ",1,48,0,0
" (3) The issuers shall maintain a bank account in which the amount raised from the issue shall be transferred immediately after the closure of the issue and such amount shall only be utilised for specified project(s):
 Provided that where the issuer is a Corporate Municipal Entity, the issue proceeds, net of issue expenses, shall be used only for onward lending to municipalities, as disclosed in the offer document: Provided further that where the issuer is a corporate municipal entity, it shall maintain sufficient interest margin while onward lending to the municipalities, to meet its operating expenses and obligations.
                 ",1,49,0,0
" (4) The issuer shall establish a separate project implementation cell and designate a project officer who shall not be below the rank of deputy commissioner, who shall monitor the progress of the project(s) and shall ensure that the funds raised are utilised only for the project(s) for which the debt securities were issued:
 Provided that where the issuer is a corporate municipal entity, such requirement shall be complied by the Municipality which is being financed.
                 ",1,50,0,0
" (5) Issuer’s contribution for each project shall not be less than twenty per cent. of the project costs, which shall be contributed from their internal resources or grants:
 Page - 18 - of 68
                 ",1,51,0,0
" 12.(1) Allotment in the public issue of municipal debt securities should be made on the basis of date of upload of each application into the electronic book of the stock exchange:
 Provided that on and after the date of oversubscription, the allotments may be made to the applicants on a proportionate basis upto the oversubscription limit.
                 ",1,52,0,0
" (2) The issuer and lead manager(s) shall ensure that the municipal debt securities are allotted and/or application monies are refunded or unblocked within such period as may be specified by the Board.
                 ",1,53,0,0
" (3) The lead manager(s) shall ensure that the allotment, credit of dematerialised securities and refund or unblocking of application monies, as may be applicable, are done electronically.
                 ",1,54,0,0
" (4) Where the securities are not allotted and/or application monies are not refunded or unblocked within the period stipulated in sub-regulation (2) above, the issuer shall undertake to pay interest at the rate of fifteen per cent. per annum to the investors and within such time as disclosed in the offer document and the lead manager(s) shall ensure the same.]
                 ",1,55,0,0
" 14A (1) Prior to making a private placement of municipal debt securities which are proposed to be listed, the issuer shall file the preliminary placement memorandum with the Board and stock exchange(s) through the merchant banker registered with the Board.
                 ",1,56,0,0
" 14.An issuer desirous of making an offer of debt securities to the public shall make an application for listing to one or more recognised stock exchanges:
 Provided that in case of issuer being corporate municipal entity, such an application shall be made in terms of sub-section (1) of section 40 of the Companies Act, 2013.”
                 ",1,57,0,0
" 15.(1) An issuer may list its debt securities issued on private placement basis on a recognised stock exchange subject to the following conditions:
(a)an issuer may issue general obligation bonds or revenue bonds;
(b)accounts of municipality being the issuer, shall be prepared in accordance with National Municipal Accounts Manual or in accordance with similar Municipal Accounts Manual adopted by the respective State Government for at least three immediately preceding financial years;
(c)no order or direction of restraint, prohibition or debarment by Board against the corporate municipal entity or its directors is in force;
(d) the issuer, being a corporate municipal entity, has issued such debt securities in compliance with the provisions of Companies Act, 2013 and particularly section 42 of the Companies Act, 2013 and rules prescribed there under and other applicable laws;
(e)the issuer shall not solicit or collect funds by issue of debt securities, except by way of private placement;
(f)the minimum subscription amount per investor shall not be less than rupees twenty five lakh or such amount as may be specified by Board from time to time;
(g)credit rating has been obtained in respect of such debt securities from at least one credit rating agency registered with the Board;
(h)the debt securities proposed to be listed are in dematerialized form;
(i)the disclosures as provided in Schedule Iof these regulations have been made.”
Page - 20 - of 68
                 ",1,58,0,0
" (2)The merchant banker to the issue shall submit the following to the Board along with the preliminary placement memorandum,-
(a)disclosures as specified in Schedule I and Schedule IA of these regulations; and
(b)a due diligence certificate as per Form A of Schedule II.
                 ",1,59,0,0
" (4)The merchant banker to the issue, as the case may be, shall ensure that all comments are suitably incorporated in the preliminary placement memorandum prior to filing the placement memorandum to the Stock Exchange(s); and the merchant banker to the issue shall provide the due diligence certificate as specified in Form B and Form C of Schedule II.
                 ",1,60,0,0
" (5)The debenture trustee shall, prior to the opening of private placement, furnish to the Board a due diligence certificate as per Schedule III of these regulations.
                 ",1,61,0,0
" 15.The minimum subscription amount per investor shall be Rupees ten lakh.]
 Page - 21 - of 68
                 ",1,62,0,0
" 16.An issuer proposing to issue municipal debt securities may make the same through the on-line system and shall comply with the relevant requirements as may be specified by the Board.]
                 ",1,63,0,0
" 17.The issuers may provide an option to buy-back the debt-securities at a value which shall not be less than the face value of the debt securities, from the investors 32[in the manner as specified by the Board from time to time]:
 Provided in such cases, appropriate disclosure shall be made in the offer document
                 ",1,64,0,0
" 17A. The issuer may recall municipal debt securities prior to maturity date at its option (call) or provide such right of redemption prior to maturity date (put) to all the investors at their option in the manner as may be specified by the Board from time to time:
 Provided in all such cases, detailed disclosure shall be made in the offer document or placement memorandum.]
                 ",1,65,0,0
" 18.(1) The offer document 35[or term sheet] 36[or placement memorandum] shall not omit disclosure of a material fact which may make the statements made therein misleading 37[***].
                 ",1,66,0,0
" 16.An issuer, proposing to issue debt securities shall maintain 100% asset cover sufficient to discharge the principal amount at all times for the debt securities issued.”
                 ",1,67,0,0
" 18A. (1) The funds raised from issue of municipal debt securities shall be used only for the purposes indicated under the objects stipulated in the offer document or placement memorandum.
                 ",1,68,0,0
" (2)Where the proceeds of the issue are earmarked for a defined project or a set of projects, prior requisite approvals, if applicable shall be obtained from the concerned authorities.
                 ",1,69,0,0
" (3)The issuers shall maintain a bank account in which the amount raised from the issue shall be immediately transferred after the closure of the issue and such amount shall only be utilised for the indicated project(s):
 Provided further that the merchant banker to the issue, in case of private placement, shall confirm to the bankers to the issue by way of copies of listing and trading approvals that all formalities in connection with the issue have been completed and that the banker is free to release the money to the issuer or release the money for refund in case of failure of the issue.
                 ",1,70,0,0
" (4)The issuer shall disclose the schedule of implementation of the project in the offer document or placement memorandum in a tabular form and the funds raised by the issuer shall be utilized in accordance with the said Schedule.
                 ",1,71,0,0
" 18B. The contribution of the issuer for each issuance of municipal debt securities shall not be less than twenty per cent. of the project costs, which shall be contributed from their internal resources or grants that may be in cash or kind.]
                 ",1,72,0,0
" 19. The issuer shall create a structured payment mechanism and maintain specific escrow accounts for the purpose of debt servicing of the municipal debt securities as specified by the Board from time to time.]
                 ",1,73,0,0
" 19.(1) The debentures shall be secured by the creation of a charge, on the properties or assets or the receivables of the issuer, having a value which is sufficient for the due repayment of the amount of debentures and interest thereon:
 Provided that in case unsecured debentures are intended to be listed on stock exchange(s), then such debt securities shall either be backed by guarantee from State Government or Central Government or shall have a structured payment mechanism whereby the issuer shall deposit debt servicing amounts in the designated bank account at least 10 working days before due date of payment.
                 ",1,74,0,0
" (2)The total value of secured debentures issued shall not exceed the market value of immovable property/other assets or receivables of the issuer, for which a charge shall be created.
                 ",1,75,0,0
" (3)The issuer shall give an undertaking in the offer document that the assets on which charge is created are free from any encumbrances and if the assets are already charged to secure a debt, the permissions or consent to create second or pari pasu charge on the assets of the issuer have been obtained from the earlier creditor.
                 ",1,76,0,0
" (4)The issue proceeds shall not be utilised until the documents for creation of security are executed.”
 Page - 24 - of 68
                 ",1,77,0,0
" 20. (1) A trust deed for securing the issue of municipal debt securities shall be executed by the issuer in favour of the debenture trustee.
                 ",1,78,0,0
" (3)The trust deed shall not contain a clause which has the effect of:
(a)limiting or extinguishing the obligations and liabilities of the debenture trustees or the issuer in relation to any rights or interests of the investors;
(b)limiting or restricting or waiving the provisions of the Act, or Securities Contracts (Regulation) Act, 1956 or the Depositories Act, 1996, and the regulations and circulars or guidelines issued by the Board from time to time;
(c)indemnifying the debenture trustees or the issuer for loss or damage caused by their act of negligence or commission or omission.
                 ",1,79,0,0
" (4)The issue proceeds shall not be utilised until the Trust deed is executed.]
                 ",1,80,0,0
" 20.(1) A trust deed for securing the issue of debentures shall be executed by the issuer in favour of the independent trustee or debenture trustee, as applicable, within three months of the closure of the issue.
                 ",1,81,0,0
" (3) The trust deed shall not contain a clause which has the effect of:
(a)limiting or extinguishing the obligations and liabilities of the debenture trustees or the issuer in relation to any rights or interests of the investors;
(b)limiting or restricting or waiving the provisions of the Act, these regulations and circulars or guidelines issued by the Board;
(c)indemnifying the debenture trustees or the issuer for loss or damage caused by their act of negligence or commission or omission.”
Page - 25 - of 68
43[Redemption and roll-over.
                 ",1,82,0,0
" 21. (1) The issuer shall redeem the municipal debt securities in terms of the offer document or placement memorandum.
                 ",1,83,0,0
" (2) Where the issuer desires to roll-over the municipal debt securities issued, it shall do so only upon passing of a special resolution to that effect and give twenty one days’ notice of the proposed roll over to the holders of municipal debt securities:
 Provided that, if the holders of municipal debt securities do not provide consent for the proposed roll over within the notice period, the issuer shall redeem the municipal debt securities of such holders.
                 ",1,84,0,0
" (3)The notice referred to in sub- regulation (2) shall contain disclosures with regard to credit rating and the rationale for roll-over.
                 ",1,85,0,0
" 21.(1) The issuer shall redeem the debt securities in terms of the offer document.
                 ",1,86,0,0
" (2)Where the issuer being a corporate municipal entity, desires to roll-over the debt securities issued, it shall do so only upon passing of a special resolution to that effect and give twenty one days notice of the proposed roll over to the holders of debt securities:
 Provided where the issuer is a municipality, the notice shall be given to the holders of debt securities and stock exchanges where the debt securities are listed, upon the said decision:
                 ",1,87,0,0
"  Provided further that in case the issuer is a municipality, if the holders of debt securities do not provide consent for the proposed roll over within the notice period, the issuer shall redeem the debt securities of such holders.
                 ",1,88,0,0
" (3)The notice referred to in sub- regulation (2) shall contain disclosures with regard to credit rating and rationale for roll-over.
                 ",1,89,0,0
" (4)The issuer being a corporate municipal entity shall, prior to sending the notice to holders of debt securities, file a copy of the notice and proposed resolution with the stock exchanges where such securities are listed, for dissemination of the same to public on their websites.
                 ",1,90,0,0
" (5)The debt securities issued can be rolled over subject to the following conditions:
(a)The roll-over is approved by a special resolution passed by the holders of debt securities through postal ballot having the consent of not less than 75% of the holders by value of such debt securities:
Provided that this condition shall not be applicable to the issuer, which is a municipality: Provided further that in case of issuer being a municipality, a period of seven days shall be granted to the holders of debt securities to provide their consent;
(b)atleast one rating is obtained from a credit rating agency within a period of six months prior to the due date of redemption and is disclosed in the notice referred to in sub-regulation (2);
(c)fresh trust deed shall be executed at the time of such roll over or the existing trust deed may be continued if the trust deed provides for such continuation ;
(d)adequate security shall be created or maintained in respect of such debt securities to be rolled– over.
                 ",1,91,0,0
" (6)The issuer shall redeem the debt securities of all the holders, who have not given their positive consent to the roll-over.”
 Page - 26 - of 68
(4)The issuer shall, prior to sending the notice to holders of municipal debt securities, file a copy of the notice and proposed resolution with the stock exchanges where such securities are listed, for dissemination of the same to the public on their websites.
(5)The municipal debt securities issued can be rolled over subject to the following conditions:
(a)the roll-over is approved by a special resolution passed by the holders of such municipal debt securities having the consent of not less than 75% of the holders by value of such municipal debt securities:
(b)at least one rating is obtained from a credit rating agency within a period of six months prior to the due date of redemption and is disclosed in the notice referred to in sub-regulation (2);
(c)fresh trust deed shall be executed at the time of such roll over or the existing trust deed may be continued if the trust deed provides for such continuation;
(6)The issuer shall redeem the municipal debt securities of all the holders, who have not given their positive consent to the roll-over.]
44[Face value of municipal debt securities
                 ",1,92,0,0
" 22.The face value of municipal debt securities shall be disclosed in offer document or placement memorandum in the manner as specified by the Board.
                 ",1,93,0,0
" 22A. The day count convention for calculation of interest payments for municipal debt securities shall be Actual/Actual and shall be calculated in manner as specified by the Board.
                 ",1,94,0,0
" 22.(1) For the redemption of the debentures issued by a corporate municipal entity, the issuer shall create debenture redemption reserve in accordance with the provisions of the Companies Act, 2013 and the rules made thereunder.
                 ",1,95,0,0
" (2) Where the issuer is a corporate municipal entity and the issuer has defaulted in payment of interest on debt securities or redemption thereof or in creation of security as per the terms of the issue of debt securities, any distribution of dividend shall require approval of the debenture trustees.”
 Page - 27 - of 68
                 ",1,96,0,0
" 22B. Any person connected with the issue shall not offer any incentive, whether direct or indirect, in any manner, whether in cash or kind or services or otherwise to any person for making an application in the issue, except for fees or commission for services rendered in relation to the issue.]
                 ",1,97,0,0
" 23. (1) The issuer making public issues of municipal debt securities or seeking listing of municipal debt securities issued on private placement basis, shall comply with the conditions of listing specified in Schedule V of these regulations including continuous disclosure and other requirements specified by the Board from time to time.
                 ",1,98,0,0
" 23.(1) All the issuers making public issues of debt securities or seeking listing of debt securities issued on private placement basis, shall comply with conditions of listing including continuous disclosure and other requirements specified by the Board in general and those specified in Schedule V to these regulations.
                 ",1,99,0,0
" (2) Where the issuer is corporate municipal entity, one-third of its Board shall comprise of independent directors, as defined in section 149 of the Companies Act, 2013.
                 ",1,100,0,0
" (3) Every rating obtained by an issuer shall be periodically reviewed by the registered credit rating agency and any revision in the rating shall be promptly disclosed by the issuer to the stock exchange(s) where the debt securities are listed.
                 ",1,101,0,0
" (4) In the event of credit rating being downgraded by two or more notches below the rating assigned at the time of issue, the issuer shall present to all bondholders, the reasons for fall in rating and the steps, if any, it intends to take to recover the rating.
                 ",1,102,0,0
" (6) The issuer, the respective debenture trustees, wherever appointed, and stock exchanges shall disseminate all information and reports regarding debt securities including compliance reports filed by the issuers and the debenture trustees, if appointed, to the investors and the general public by placing them on their websites.
                 ",1,103,0,0
" (7) The information referred to in sub-regulation (5) shall also be placed on the websites, if any, of the debenture trustee, the issuer and the stock exchanges.”
 Page - 28 - of 68
(2)Where the issuer is a body corporate to whom the Companies Act, 2013 applies, one-third of its Board shall comprise of independent directors, as defined in section 149 of the Companies Act, 2013.
(3)Any change in rating shall be promptly disseminated in such manner as the stock exchange where such securities are listed may determine from time to time.
(4)The issuer, the respective debenture trustees, and stock exchanges shall disseminate all information and reports regarding municipal debt securities including compliance reports filed by the issuers and the debenture trustees, to the investors and the general public by placing them on their websites.
(5)The information referred to in sub-regulation (3) shall also be placed on the websites of the debenture trustee, the issuer and the stock exchanges.]
47[Accounting and audit.
                 ",1,104,0,0
" 24.(1) An issuer shall prepare accounts in any of the manner specified in clause (b) of regulation 4:
 Provided that in case the Issuer is a body corporate to which the Companies Act, 2013 applies, the accounts shall be prepared in accordance with section 129 and 134 of the Companies Act, 2013 and the rules made thereunder.
                 ",1,105,0,0
" (2) In case of the issuer being a municipality, the accounts of the issuer shall be audited by the persons appointed by the municipal corporations, as permissible under its constitution document:
                 ",1,106,0,0
" (2) In case of the issuer being a municipality, the accounts of the issuer shall be audited by the persons appointed by the municipal corporations, as permissible under its constitution/state legislation governing the municipality:
 Provided that in case of an issuer being a corporate municipal entity, the accounts of the issuer shall be audited by an auditor, in terms of section 139 of the Companies Act, 2013 and the rules made thereunder:
                 ",1,107,0,0
" (3) The bank account for issue proceeds and separate escrow account with earmarked revenues, shall be audited by persons so appointed by the municipality or the corporate municipal entity, within six months of the close of every financial year.”
 Page - 29 - of 68
                 ",1,108,0,0
"  Provided that in case the issuer is a body corporate to which the Companies Act, 2013 applies, the accounts of the issuer shall be audited by an auditor, in terms of section 139 of the Companies Act, 2013 and the Rules made thereunder.]
                 ",1,109,0,0
" 25.(1) The trades of listed municipal debt securities shall be cleared and settled through a recognised clearing corporation in the manner specified by the Board.
                 ",1,110,0,0
" (2)In case of trades in municipal debt securities which have been made over the counter, such trades shall be reported on a recognised stock exchange having a nationwide trading terminal or such other platform as may be specified by the Board from time to time.
                 ",1,111,0,0
" 25.(1) The debt securities issued to the public or on a private placement basis, which are listed in recognised stock exchanges, shall be traded and such trades shall be cleared and settled in recognised clearing corporation subject to conditions specified by the Board.
                 ",1,112,0,0
" (2) The trading lot for privately placed debt securities shall be rupees one lakh or such amount as may be specified by the Board.
                 ",1,113,0,0
" (3) In case of trades of debt securities which have been made over the counter, such trades shall be reported on a recognised stock exchange having a nationwide trading terminal or such other platform as may be specified by the Board from time to time.
                 ",1,114,0,0
" (4) The information in respect of issues such as issuer details, instrument details, ratings, rating migration, coupon, buyback, redemption details, shall be required to be reported to a common database with depositories or any other platform as may be specified by the Board.”
 Page - 30 - of 68
                 ",1,115,0,0
" 26. (1) The debenture trustee shall be vested with the requisite powers for protecting the interest of holders of municipal debt securities:
 Provided that, where the issuer is a body corporate to which the Companies Act, 2013 applies such powers shall include a right to appoint a nominee director on the Board of the issuer, in consultation with institutional holders of such securities.
                 ",1,116,0,0
" (3)The debenture trustee shall monitor the separate escrow account maintained in respect of the earmarked revenue.
                 ",1,117,0,0
" (4)The debenture trustee shall ensure disclosure of all material events on an ongoing basis.
                 ",1,118,0,0
" 26.(1) The monitoring agency appointed under sub-regulation (7) of regulation 5 shall be vested with the requisite powers for protecting the interest of holders of debt securities.
                 ",1,119,0,0
" (2) The monitoring agency shall inspect on half yearly basis, the utilization of issue proceeds in accordance with objects of the issue as specified in offer document and report, material deviation, if any, to the concerned stock exchange for public dissemination.
                 ",1,120,0,0
" (3) The monitoring agency shall monitor earmarked revenue in the separate escrow account.
                 ",1,121,0,0
" (4) The debenture trustee, wherever appointed, shall be vested with the requisite powers for protecting the interest of holders of debt securities:
 Provided that , where the issuer is a corporate municipal entity, such powers shall include a right to appoint a nominee director on the Board of the issuer, in consultation with institutional holders of such securities.
                 ",1,122,0,0
" (5) the debenture trustee, wherever appointed, shall disclose the information to the investors and the general public by issuing a press release in any of the following events:
(a)default by issuer to pay interest on debt securities or redemption amount;
(b)failure to create a charge on the assets;
(c)revision of rating assigned to the debt securities.
                 ",1,123,0,0
" (7)The debenture trustee, wherever appointed, shall ensure disclosure of all material events on an ongoing basis
                 ",1,124,0,0
